identifier,filename,clipId,start,end
ATMA,split_0_2020-06-03_05_34_19.wav,0,5274,53274
ATMA,split_1_2020-06-03_05_34_19.wav,1,33999,81999
ATMA,split_2_2020-06-03_05_34_19.wav,2,80035,128035
ATMA,split_3_2020-06-03_05_34_19.wav,3,122092,170092
ATMA,split_4_2020-06-03_05_34_19.wav,4,190695,238695
ATMA,split_5_2020-06-03_05_34_19.wav,5,233616,281616
ATMA,split_6_2020-06-03_05_34_19.wav,6,298282,346282
ATMA,split_7_2020-06-03_05_34_19.wav,7,324697,372697
ATMA,split_8_2020-06-03_05_34_19.wav,8,410704,458704
ATMA,split_9_2020-06-03_05_34_19.wav,9,418063,466063
ATMA,split_10_2020-06-03_05_34_19.wav,10,454002,502002
ATMA,split_11_2020-06-03_05_34_19.wav,11,527792,575792
ATMA,split_12_2020-06-03_05_34_19.wav,12,570692,618692
ATMA,split_13_2020-06-03_05_34_19.wav,13,584370,632370
ATMA,split_14_2020-06-03_05_34_19.wav,14,589766,637766
ATMA,split_15_2020-06-03_05_34_19.wav,15,608474,656474
ATMA,split_16_2020-06-03_05_34_19.wav,16,680681,728681
ATMA,split_17_2020-06-03_05_34_19.wav,17,727585,775585
ATMA,split_18_2020-06-03_05_34_19.wav,18,762333,810333
ATMA,split_19_2020-06-03_05_34_19.wav,19,783002,831002
ATMA,split_20_2020-06-03_05_34_19.wav,20,821804,869804
ATMA,split_21_2020-06-03_05_34_19.wav,21,842807,890807
ATMA,split_22_2020-06-03_05_34_19.wav,22,869704,917704
ATMA,split_23_2020-06-03_05_34_19.wav,23,879802,927802
ATMA,split_24_2020-06-03_05_34_19.wav,24,928835,976835
ATMA,split_25_2020-06-03_05_34_19.wav,25,962983,1010983
ATMA,split_26_2020-06-03_05_34_19.wav,26,997137,1045137
ATMA,split_27_2020-06-03_05_34_19.wav,27,1013786,1061786
ATMA,split_28_2020-06-03_05_34_19.wav,28,1071486,1119486
ATMA,split_29_2020-06-03_05_34_19.wav,29,1130944,1178944
ATMA,split_30_2020-06-03_05_34_19.wav,30,1248349,1296349
ATMA,split_31_2020-06-03_05_34_19.wav,31,1269591,1317591
ATMA,split_32_2020-06-03_05_34_19.wav,32,1293542,1341542
ATMA,split_33_2020-06-03_05_34_19.wav,33,1326857,1374857
ATMA,split_34_2020-06-03_05_34_19.wav,34,1376352,1424352
ATMA,split_35_2020-06-03_05_34_19.wav,35,1404353,1452353
ATMA,split_36_2020-06-03_05_34_19.wav,36,1411699,1459699
ATMA,split_37_2020-06-03_05_34_19.wav,37,1449611,1497611
ATMA,split_38_2020-06-03_05_34_19.wav,38,1485388,1533388
ATMA,split_39_2020-06-03_05_34_19.wav,39,1509554,1557554
ATMA,split_40_2020-06-03_05_34_19.wav,40,1567063,1615063
ATMA,split_41_2020-06-03_05_34_19.wav,41,1577072,1625072
ATMA,split_42_2020-06-03_05_34_19.wav,42,1625067,1673067
ATMA,split_43_2020-06-03_05_34_19.wav,43,1695548,1743548
ATMA,split_44_2020-06-03_05_34_19.wav,44,1713488,1761488
ATMA,split_45_2020-06-03_05_34_19.wav,45,1757742,1805742
ATMA,split_46_2020-06-03_05_34_19.wav,46,1793003,1841003
ATMA,split_47_2020-06-03_05_34_19.wav,47,1843731,1891731
ATMA,split_48_2020-06-03_05_34_19.wav,48,1894573,1942573
ATMA,split_49_2020-06-03_05_34_19.wav,49,1985178,2033178
ATMA,split_50_2020-06-03_05_34_19.wav,50,2010406,2058406
ATMA,split_51_2020-06-03_05_34_19.wav,51,2041048,2089048
ATMA,split_52_2020-06-03_05_34_19.wav,52,2075279,2123279
ATMA,split_53_2020-06-03_05_34_19.wav,53,2117310,2165310
ATMA,split_54_2020-06-03_05_34_19.wav,54,2173354,2221354
ATMA,split_55_2020-06-03_05_34_19.wav,55,2202876,2250876
ATMA,split_56_2020-06-03_05_34_19.wav,56,2234725,2282725
ATMA,split_57_2020-06-03_05_34_19.wav,57,2254021,2302021
ATMA,split_58_2020-06-03_05_34_19.wav,58,2262109,2310109
ATMA,split_59_2020-06-03_05_34_19.wav,59,2314053,2362053
ATMA,split_60_2020-06-03_05_34_19.wav,60,2340018,2388018
ATMA,split_61_2020-06-03_05_34_19.wav,61,2360697,2408697
ATMA,split_62_2020-06-03_05_34_19.wav,62,2393749,2441749
ATMA,split_63_2020-06-03_05_34_19.wav,63,2453201,2501201
ATMA,split_64_2020-06-03_05_34_19.wav,64,2498212,2546212
ATMA,split_65_2020-06-03_05_34_19.wav,65,2515291,2563291
ATMA,split_66_2020-06-03_05_34_19.wav,66,2538637,2586637
ATMA,split_67_2020-06-03_05_34_19.wav,67,2581864,2629864
ATMA,split_68_2020-06-03_05_34_19.wav,68,2614833,2662833
ATMA,split_69_2020-06-03_05_34_19.wav,69,2699423,2747423
ATMA,split_70_2020-06-03_05_34_19.wav,70,2731189,2779189
ATMA,split_71_2020-06-03_05_34_19.wav,71,2738836,2786836
ATMA,split_72_2020-06-03_05_34_19.wav,72,2819640,2867640
ATMA,split_73_2020-06-03_05_34_19.wav,73,2836597,2884597
ATMA,split_74_2020-06-03_05_34_19.wav,74,2902051,2950051
ATMA,split_75_2020-06-03_05_34_19.wav,75,2929725,2977725
ATMA,split_76_2020-06-03_05_34_19.wav,76,2977063,3025063
ATMA,split_77_2020-06-03_05_34_19.wav,77,2994132,3042132
ATMA,split_78_2020-06-03_05_34_19.wav,78,3063301,3111301
ATMA,split_79_2020-06-03_05_34_19.wav,79,3073381,3121381
ATMA,split_80_2020-06-03_05_34_19.wav,80,3110937,3158937
ATMA,split_81_2020-06-03_05_34_19.wav,81,3165454,3213454
ATMA,split_0_2020-06-03_05_34_27.wav,0,22184,70184
ATMA,split_1_2020-06-03_05_34_27.wav,1,48763,96763
ATMA,split_2_2020-06-03_05_34_27.wav,2,165743,213743
ATMA,split_3_2020-06-03_05_34_27.wav,3,213360,261360
ATMA,split_4_2020-06-03_05_34_27.wav,4,245441,293441
ATMA,split_5_2020-06-03_05_34_27.wav,5,323734,371734
ATMA,split_6_2020-06-03_05_34_27.wav,6,351345,399345
ATMA,split_7_2020-06-03_05_34_27.wav,7,421290,469290
ATMA,split_8_2020-06-03_05_34_27.wav,8,513797,561797
ATMA,split_9_2020-06-03_05_34_27.wav,9,535407,583407
ATMA,split_10_2020-06-03_05_34_27.wav,10,663258,711258
ATMA,split_11_2020-06-03_05_34_27.wav,11,688601,736601
ATMA,split_12_2020-06-03_05_34_27.wav,12,772414,820414
ATMA,split_13_2020-06-03_05_34_27.wav,13,826982,874982
ATMA,split_14_2020-06-03_05_34_27.wav,14,879687,927687
ATMA,split_15_2020-06-03_05_34_27.wav,15,898053,946053
ATMA,split_16_2020-06-03_05_34_27.wav,16,927539,975539
ATMA,split_17_2020-06-03_05_34_27.wav,17,953616,1001616
ATMA,split_18_2020-06-03_05_34_27.wav,18,995172,1043172
ATMA,split_19_2020-06-03_05_34_27.wav,19,1088959,1136959
ATMA,split_20_2020-06-03_05_34_27.wav,20,1109514,1157514
ATMA,split_21_2020-06-03_05_34_27.wav,21,1157947,1205947
ATMA,split_22_2020-06-03_05_34_27.wav,22,1196231,1244231
ATMA,split_23_2020-06-03_05_34_27.wav,23,1241838,1289838
ATMA,split_24_2020-06-03_05_34_27.wav,24,1266492,1314492
ATMA,split_25_2020-06-03_05_34_27.wav,25,1294328,1342328
ATMA,split_26_2020-06-03_05_34_27.wav,26,1333719,1381719
ATMA,split_27_2020-06-03_05_34_27.wav,27,1385270,1433270
ATMA,split_28_2020-06-03_05_34_27.wav,28,1429103,1477103
ATMA,split_29_2020-06-03_05_34_27.wav,29,1457480,1505480
ATMA,split_30_2020-06-03_05_34_27.wav,30,1490020,1538020
ATMA,split_31_2020-06-03_05_34_27.wav,31,1521418,1569418
ATMA,split_32_2020-06-03_05_34_27.wav,32,1566366,1614366
ATMA,split_33_2020-06-03_05_34_27.wav,33,1622692,1670692
ATMA,split_34_2020-06-03_05_34_27.wav,34,1639693,1687693
ATMA,split_35_2020-06-03_05_34_27.wav,35,1718133,1766133
ATMA,split_36_2020-06-03_05_34_27.wav,36,1743852,1791852
ATMA,split_37_2020-06-03_05_34_27.wav,37,1798600,1846600
ATMA,split_38_2020-06-03_05_34_27.wav,38,1861516,1909516
ATMA,split_39_2020-06-03_05_34_27.wav,39,1881953,1929953
ATMA,split_40_2020-06-03_05_34_27.wav,40,1979686,2027686
ATMA,split_41_2020-06-03_05_34_27.wav,41,2033913,2081913
ATMA,split_42_2020-06-03_05_34_27.wav,42,2102885,2150885
ATMA,split_43_2020-06-03_05_34_27.wav,43,2187243,2235243
ATMA,split_44_2020-06-03_05_34_27.wav,44,2225442,2273442
ATMA,split_45_2020-06-03_05_34_27.wav,45,2278724,2326724
ATMA,split_46_2020-06-03_05_34_27.wav,46,2335301,2383301
ATMA,split_47_2020-06-03_05_34_27.wav,47,2387463,2435463
ATMA,split_48_2020-06-03_05_34_27.wav,48,2399438,2447438
ATMA,split_0_2020-06-03_05_38_59.wav,0,10522,58522
ATMA,split_1_2020-06-03_05_38_59.wav,1,45441,93441
ATMA,split_2_2020-06-03_05_38_59.wav,2,63116,111116
ATMA,split_3_2020-06-03_05_38_59.wav,3,139145,187145
ATMA,split_4_2020-06-03_05_38_59.wav,4,210443,258443
ATMA,split_5_2020-06-03_05_38_59.wav,5,300785,348785
ATMA,split_6_2020-06-03_05_38_59.wav,6,371522,419522
ATMA,split_7_2020-06-03_05_38_59.wav,7,404848,452848
ATMA,split_8_2020-06-03_05_38_59.wav,8,490281,538281
